=== OVS Snapshot: post_churn @ 2026-04-19T00:17:09,968337453-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=4198.731s, table=0, n_packets=4791585, n_bytes=6331141378, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=4198.734s, table=0, n_packets=132595, n_bytes=8789057, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a00046c, duration=24.660s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.5.172,tp_src=54898,tp_dst=5001 actions=set_field:10.0.4.108->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:04:6c:68->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
 cookie=0xa00000000a000492, duration=24.660s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.5.195,tp_src=33844,tp_dst=5001 actions=set_field:10.0.4.146->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:04:92:96->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a000450, duration=24.566s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.5.142,tp_src=38736,tp_dst=5001 actions=set_field:10.0.4.80->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:04:50:54->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a00051c, duration=24.518s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.21.24,tp_src=55294,tp_dst=5001 actions=set_field:10.0.5.28->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:05:1c:19->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000429, duration=24.500s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.5.119,tp_src=40312,tp_dst=5001 actions=set_field:10.0.4.41->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:04:29:2d->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a0004d8, duration=24.500s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.9.10,tp_src=34422,tp_dst=5001 actions=set_field:10.0.4.216->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:04:d8:dc->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a000504, duration=24.500s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.22.129,tp_src=39064,tp_dst=5001 actions=set_field:10.0.5.4->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:05:04:01->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a000529, duration=24.500s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.21.48,tp_src=54334,tp_dst=5001 actions=set_field:10.0.5.41->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:05:29:2c->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a00053b, duration=24.434s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.21.67,tp_src=48796,tp_dst=5001 actions=set_field:10.0.5.59->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:05:3b:3e->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a00047d, duration=24.388s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.4.233,tp_src=34824,tp_dst=5001 actions=set_field:10.0.4.125->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:04:7d:79->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
