=== OVS Snapshot: post_tcp @ 2026-04-19T23:34:17,187376005-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=133.351s, table=0, n_packets=138559, n_bytes=6055257454, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.190,nw_dst=10.0.1.188,tp_src=53732,tp_dst=5001 actions=set_field:00:00:00:00:01:ba->eth_dst,output:20
 cookie=0x0, duration=133.351s, table=0, n_packets=57574, n_bytes=3926724, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.188,nw_dst=10.0.0.190,tp_src=5001,tp_dst=53732 actions=set_field:00:00:00:00:00:be->eth_dst,output:9
 cookie=0x0, duration=133.334s, table=0, n_packets=148287, n_bytes=6566928198, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.205,nw_dst=10.0.1.203,tp_src=46904,tp_dst=5001 actions=set_field:00:00:00:00:01:c9->eth_dst,output:21
 cookie=0x0, duration=133.334s, table=0, n_packets=68845, n_bytes=4566526, idle_timeout=15, priority=100,tcp,in_port=21,nw_src=10.0.1.203,nw_dst=10.0.0.205,tp_src=5001,tp_dst=46904 actions=set_field:00:00:00:00:00:cd->eth_dst,output:10
 cookie=0x0, duration=133.334s, table=0, n_packets=150261, n_bytes=6740854522, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.25,nw_dst=10.0.1.23,tp_src=49678,tp_dst=5001 actions=set_field:00:00:00:00:01:15->eth_dst,output:13
 cookie=0x0, duration=133.334s, table=0, n_packets=80901, n_bytes=5343214, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.23,nw_dst=10.0.0.25,tp_src=5001,tp_dst=49678 actions=set_field:00:00:00:00:00:19->eth_dst,output:3
 cookie=0x0, duration=133.317s, table=0, n_packets=147760, n_bytes=6535450936, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.35,nw_dst=10.0.1.33,tp_src=33854,tp_dst=5001 actions=set_field:00:00:00:00:01:1f->eth_dst,output:13
 cookie=0x0, duration=133.317s, table=0, n_packets=89592, n_bytes=5924876, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.33,nw_dst=10.0.0.35,tp_src=5001,tp_dst=33854 actions=set_field:00:00:00:00:00:23->eth_dst,output:3
 cookie=0x0, duration=133.317s, table=0, n_packets=154153, n_bytes=6979761522, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.211,nw_dst=10.0.1.209,tp_src=36442,tp_dst=5001 actions=set_field:00:00:00:00:01:cf->eth_dst,output:21
 cookie=0x0, duration=133.317s, table=0, n_packets=81360, n_bytes=5378116, idle_timeout=15, priority=100,tcp,in_port=21,nw_src=10.0.1.209,nw_dst=10.0.0.211,tp_src=5001,tp_dst=36442 actions=set_field:00:00:00:00:00:d3->eth_dst,output:10
 cookie=0x0, duration=133.304s, table=0, n_packets=143997, n_bytes=6524295466, idle_timeout=15, priority=100,tcp,in_port=11,nw_src=10.0.0.217,nw_dst=10.0.1.215,tp_src=39588,tp_dst=5001 actions=set_field:00:00:00:00:01:d5->eth_dst,output:21
 cookie=0x0, duration=133.303s, table=0, n_packets=69308, n_bytes=4577576, idle_timeout=15, priority=100,tcp,in_port=21,nw_src=10.0.1.215,nw_dst=10.0.0.217,tp_src=5001,tp_dst=39588 actions=set_field:00:00:00:00:00:d9->eth_dst,output:11
 cookie=0x0, duration=133.303s, table=0, n_packets=166058, n_bytes=7252559852, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.157,nw_dst=10.0.1.155,tp_src=39336,tp_dst=5001 actions=set_field:00:00:00:00:01:99->eth_dst,output:19
 cookie=0x0, duration=133.303s, table=0, n_packets=107013, n_bytes=7064742, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.155,nw_dst=10.0.0.157,tp_src=5001,tp_dst=39336 actions=set_field:00:00:00:00:00:9d->eth_dst,output:8
 cookie=0x0, duration=133.303s, table=0, n_packets=152822, n_bytes=6901038324, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.144,nw_dst=10.0.1.142,tp_src=48848,tp_dst=5001 actions=set_field:00:00:00:00:01:8c->eth_dst,output:18
 cookie=0x0, duration=133.303s, table=0, n_packets=80692, n_bytes=5335432, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.142,nw_dst=10.0.0.144,tp_src=5001,tp_dst=48848 actions=set_field:00:00:00:00:00:90->eth_dst,output:7
 cookie=0x0, duration=133.303s, table=0, n_packets=150084, n_bytes=6761727760, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.181,nw_dst=10.0.1.179,tp_src=56234,tp_dst=5001 actions=set_field:00:00:00:00:01:b1->eth_dst,output:20
 cookie=0x0, duration=133.303s, table=0, n_packets=74320, n_bytes=4919200, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.179,nw_dst=10.0.0.181,tp_src=5001,tp_dst=56234 actions=set_field:00:00:00:00:00:b5->eth_dst,output:9
 cookie=0x0, duration=133.303s, table=0, n_packets=144232, n_bytes=6494986896, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.27,nw_dst=10.0.1.25,tp_src=56646,tp_dst=5001 actions=set_field:00:00:00:00:01:17->eth_dst,output:13
