=== OVS Snapshot: mid_tcp @ 2026-04-19T23:33:03,699608467-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=60.885s, table=0, n_packets=79269, n_bytes=3449717954, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.56,nw_dst=10.0.1.54,tp_src=33538,tp_dst=5001 actions=set_field:00:00:00:00:01:34->eth_dst,output:14
 cookie=0x0, duration=60.885s, table=0, n_packets=48271, n_bytes=3215826, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.54,nw_dst=10.0.0.56,tp_src=5001,tp_dst=33538 actions=set_field:00:00:00:00:00:38->eth_dst,output:4
 cookie=0x0, duration=60.853s, table=0, n_packets=74854, n_bytes=3260238484, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.88,nw_dst=10.0.1.86,tp_src=46022,tp_dst=5001 actions=set_field:00:00:00:00:01:54->eth_dst,output:16
 cookie=0x0, duration=60.853s, table=0, n_packets=43813, n_bytes=2902974, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.86,nw_dst=10.0.0.88,tp_src=5001,tp_dst=46022 actions=set_field:00:00:00:00:00:58->eth_dst,output:5
 cookie=0x0, duration=60.853s, table=0, n_packets=73973, n_bytes=3200891114, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,tp_src=40964,tp_dst=5001 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=60.853s, table=0, n_packets=38353, n_bytes=2561426, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.83,nw_dst=10.0.0.85,tp_src=5001,tp_dst=40964 actions=set_field:00:00:00:00:00:55->eth_dst,output:5
 cookie=0x0, duration=60.853s, table=0, n_packets=90414, n_bytes=3945399404, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.86,nw_dst=10.0.1.84,tp_src=45856,tp_dst=5001 actions=set_field:00:00:00:00:01:52->eth_dst,output:16
 cookie=0x0, duration=60.853s, table=0, n_packets=53775, n_bytes=3596662, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.84,nw_dst=10.0.0.86,tp_src=5001,tp_dst=45856 actions=set_field:00:00:00:00:00:56->eth_dst,output:5
 cookie=0x0, duration=60.853s, table=0, n_packets=68511, n_bytes=2952079438, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.84,nw_dst=10.0.1.82,tp_src=47666,tp_dst=5001 actions=set_field:00:00:00:00:01:50->eth_dst,output:15
 cookie=0x0, duration=60.853s, table=0, n_packets=31107, n_bytes=2072686, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.82,nw_dst=10.0.0.84,tp_src=5001,tp_dst=47666 actions=set_field:00:00:00:00:00:54->eth_dst,output:5
 cookie=0x0, duration=60.838s, table=0, n_packets=79867, n_bytes=3320392262, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.38,nw_dst=10.0.1.36,tp_src=58394,tp_dst=5001 actions=set_field:00:00:00:00:01:22->eth_dst,output:14
 cookie=0x0, duration=60.838s, table=0, n_packets=39957, n_bytes=2687162, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.36,nw_dst=10.0.0.38,tp_src=5001,tp_dst=58394 actions=set_field:00:00:00:00:00:26->eth_dst,output:3
 cookie=0x0, duration=60.819s, table=0, n_packets=74913, n_bytes=3144456666, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.8,nw_dst=10.0.1.6,tp_src=36378,tp_dst=5001 actions=set_field:00:00:00:00:01:04->eth_dst,output:12
 cookie=0x0, duration=60.819s, table=0, n_packets=40628, n_bytes=2730632, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.6,nw_dst=10.0.0.8,tp_src=5001,tp_dst=36378 actions=set_field:00:00:00:00:00:08->eth_dst,output:2
 cookie=0x0, duration=60.819s, table=0, n_packets=81831, n_bytes=3521523878, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=59770,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=60.819s, table=0, n_packets=52140, n_bytes=3478920, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=59770 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=60.819s, table=0, n_packets=67914, n_bytes=2892572172, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=39012,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=60.819s, table=0, n_packets=27928, n_bytes=1853824, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=39012 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=60.819s, table=0, n_packets=69519, n_bytes=2924891214, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.28,nw_dst=10.0.1.26,tp_src=54816,tp_dst=5001 actions=set_field:00:00:00:00:01:18->eth_dst,output:13
 cookie=0x0, duration=60.819s, table=0, n_packets=32122, n_bytes=2188012, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.26,nw_dst=10.0.0.28,tp_src=5001,tp_dst=54816 actions=set_field:00:00:00:00:00:1c->eth_dst,output:3
 cookie=0x0, duration=60.818s, table=0, n_packets=66000, n_bytes=2977213824, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.30,nw_dst=10.0.1.28,tp_src=54812,tp_dst=5001 actions=set_field:00:00:00:00:01:1a->eth_dst,output:13
 cookie=0x0, duration=60.818s, table=0, n_packets=30193, n_bytes=2002238, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.28,nw_dst=10.0.0.30,tp_src=5001,tp_dst=54812 actions=set_field:00:00:00:00:00:1e->eth_dst,output:3
 cookie=0x0, duration=60.818s, table=0, n_packets=65937, n_bytes=2963620594, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.26,nw_dst=10.0.1.24,tp_src=48000,tp_dst=5001 actions=set_field:00:00:00:00:01:16->eth_dst,output:13
 cookie=0x0, duration=60.818s, table=0, n_packets=30420, n_bytes=2018864, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.24,nw_dst=10.0.0.26,tp_src=5001,tp_dst=48000 actions=set_field:00:00:00:00:00:1a->eth_dst,output:3
 cookie=0x0, duration=60.802s, table=0, n_packets=55542, n_bytes=2395250020, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.31,nw_dst=10.0.1.29,tp_src=56764,tp_dst=5001 actions=set_field:00:00:00:00:01:1b->eth_dst,output:13
 cookie=0x0, duration=60.802s, table=0, n_packets=15042, n_bytes=1018548, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.29,nw_dst=10.0.0.31,tp_src=5001,tp_dst=56764 actions=set_field:00:00:00:00:00:1f->eth_dst,output:3
 cookie=0x0, duration=60.802s, table=0, n_packets=72341, n_bytes=3173993770, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.87,nw_dst=10.0.1.85,tp_src=46740,tp_dst=5001 actions=set_field:00:00:00:00:01:53->eth_dst,output:16
 cookie=0x0, duration=60.802s, table=0, n_packets=40207, n_bytes=2657342, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.85,nw_dst=10.0.0.87,tp_src=5001,tp_dst=46740 actions=set_field:00:00:00:00:00:57->eth_dst,output:5
 cookie=0x0, duration=60.764s, table=0, n_packets=67785, n_bytes=3002826106, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.82,nw_dst=10.0.1.80,tp_src=54108,tp_dst=5001 actions=set_field:00:00:00:00:01:4e->eth_dst,output:15
 cookie=0x0, duration=60.764s, table=0, n_packets=33039, n_bytes=2190422, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.80,nw_dst=10.0.0.82,tp_src=5001,tp_dst=54108 actions=set_field:00:00:00:00:00:52->eth_dst,output:5
 cookie=0x0, duration=60.755s, table=0, n_packets=62880, n_bytes=2788800248, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.89,nw_dst=10.0.1.87,tp_src=58196,tp_dst=5001 actions=set_field:00:00:00:00:01:55->eth_dst,output:16
 cookie=0x0, duration=60.755s, table=0, n_packets=28606, n_bytes=1889636, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.87,nw_dst=10.0.0.89,tp_src=5001,tp_dst=58196 actions=set_field:00:00:00:00:00:59->eth_dst,output:5
 cookie=0x0, duration=60.754s, table=0, n_packets=65794, n_bytes=2942926364, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.114,nw_dst=10.0.1.112,tp_src=41164,tp_dst=5001 actions=set_field:00:00:00:00:01:6e->eth_dst,output:17
 cookie=0x0, duration=60.754s, table=0, n_packets=35947, n_bytes=2385402, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.112,nw_dst=10.0.0.114,tp_src=5001,tp_dst=41164 actions=set_field:00:00:00:00:00:72->eth_dst,output:6
 cookie=0x0, duration=60.651s, table=0, n_packets=76122, n_bytes=3304773420, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.129,nw_dst=10.0.1.127,tp_src=44116,tp_dst=5001 actions=set_field:00:00:00:00:01:7d->eth_dst,output:17
 cookie=0x0, duration=60.651s, table=0, n_packets=38698, n_bytes=2561760, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.127,nw_dst=10.0.0.129,tp_src=5001,tp_dst=44116 actions=set_field:00:00:00:00:00:81->eth_dst,output:7
 cookie=0x0, duration=60.651s, table=0, n_packets=66760, n_bytes=2823558104, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.190,nw_dst=10.0.1.188,tp_src=53732,tp_dst=5001 actions=set_field:00:00:00:00:01:ba->eth_dst,output:20
 cookie=0x0, duration=60.651s, table=0, n_packets=25598, n_bytes=1815900, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.188,nw_dst=10.0.0.190,tp_src=5001,tp_dst=53732 actions=set_field:00:00:00:00:00:be->eth_dst,output:9
 cookie=0x0, duration=60.634s, table=0, n_packets=76716, n_bytes=3214653032, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.205,nw_dst=10.0.1.203,tp_src=46904,tp_dst=5001 actions=set_field:00:00:00:00:01:c9->eth_dst,output:21
 cookie=0x0, duration=60.634s, table=0, n_packets=40443, n_bytes=2683306, idle_timeout=15, priority=100,tcp,in_port=21,nw_src=10.0.1.203,nw_dst=10.0.0.205,tp_src=5001,tp_dst=46904 actions=set_field:00:00:00:00:00:cd->eth_dst,output:10
 cookie=0x0, duration=60.634s, table=0, n_packets=72578, n_bytes=3277522516, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.25,nw_dst=10.0.1.23,tp_src=49678,tp_dst=5001 actions=set_field:00:00:00:00:01:15->eth_dst,output:13
 cookie=0x0, duration=60.634s, table=0, n_packets=40156, n_bytes=2651308, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.23,nw_dst=10.0.0.25,tp_src=5001,tp_dst=49678 actions=set_field:00:00:00:00:00:19->eth_dst,output:3
 cookie=0x0, duration=60.617s, table=0, n_packets=68755, n_bytes=3010253558, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.35,nw_dst=10.0.1.33,tp_src=33854,tp_dst=5001 actions=set_field:00:00:00:00:01:1f->eth_dst,output:13
 cookie=0x0, duration=60.617s, table=0, n_packets=37403, n_bytes=2480342, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.33,nw_dst=10.0.0.35,tp_src=5001,tp_dst=33854 actions=set_field:00:00:00:00:00:23->eth_dst,output:3
 cookie=0x0, duration=60.617s, table=0, n_packets=62889, n_bytes=2844911586, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.211,nw_dst=10.0.1.209,tp_src=36442,tp_dst=5001 actions=set_field:00:00:00:00:01:cf->eth_dst,output:21
 cookie=0x0, duration=60.617s, table=0, n_packets=23793, n_bytes=1577134, idle_timeout=15, priority=100,tcp,in_port=21,nw_src=10.0.1.209,nw_dst=10.0.0.211,tp_src=5001,tp_dst=36442 actions=set_field:00:00:00:00:00:d3->eth_dst,output:10
