=== OVS Snapshot: during_ping @ 2026-04-19T23:29:47,988341860-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=14.768s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.88,nw_dst=10.0.1.86,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:54->eth_dst,output:16
 cookie=0x0, duration=14.768s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.150,nw_dst=10.0.0.152,tp_src=5001,tp_dst=41341 actions=set_field:00:00:00:00:00:98->eth_dst,output:8
 cookie=0x0, duration=14.754s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.99,nw_dst=10.0.1.97,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:5f->eth_dst,output:16
 cookie=0x0, duration=14.739s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.100,nw_dst=10.0.1.98,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:60->eth_dst,output:16
 cookie=0x0, duration=14.739s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.89,nw_dst=10.0.1.87,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:55->eth_dst,output:16
 cookie=0x0, duration=14.726s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.151,nw_dst=10.0.0.153,tp_src=5001,tp_dst=48369 actions=set_field:00:00:00:00:00:99->eth_dst,output:8
 cookie=0x0, duration=14.726s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.152,nw_dst=10.0.0.154,tp_src=5001,tp_dst=33598 actions=set_field:00:00:00:00:00:9a->eth_dst,output:8
 cookie=0x0, duration=14.711s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.153,nw_dst=10.0.0.155,tp_src=5001,tp_dst=47396 actions=set_field:00:00:00:00:00:9b->eth_dst,output:8
 cookie=0x0, duration=14.710s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.189,nw_dst=10.0.0.191,tp_src=5001,tp_dst=50278 actions=set_field:00:00:00:00:00:bf->eth_dst,output:9
 cookie=0x0, duration=14.696s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.109,nw_dst=10.0.1.107,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:69->eth_dst,output:17
 cookie=0x0, duration=14.680s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.154,nw_dst=10.0.0.156,tp_src=5001,tp_dst=59992 actions=set_field:00:00:00:00:00:9c->eth_dst,output:8
 cookie=0x0, duration=14.680s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.90,nw_dst=10.0.1.88,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:56->eth_dst,output:16
 cookie=0x0, duration=14.666s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.91,nw_dst=10.0.1.89,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:57->eth_dst,output:16
 cookie=0x0, duration=14.647s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.102,nw_dst=10.0.1.100,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:62->eth_dst,output:16
 cookie=0x0, duration=14.635s, table=0, n_packets=5, n_bytes=2950, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.81,nw_dst=10.0.1.79,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:4d->eth_dst,output:15
 cookie=0x0, duration=14.634s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.92,nw_dst=10.0.1.90,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:58->eth_dst,output:16
