=== OVS Snapshot: pre_tcp @ 2026-04-19T21:52:24,876893178-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=130.101s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.28,nw_dst=10.0.1.26,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:18->eth_dst,output:13
 cookie=0x0, duration=130.101s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.26,nw_dst=10.0.0.28,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:1c->eth_dst,output:3
 cookie=0x0, duration=130.101s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.59,nw_dst=10.0.1.57,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:37->eth_dst,output:14
 cookie=0x0, duration=130.101s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.57,nw_dst=10.0.0.59,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3b->eth_dst,output:4
 cookie=0x0, duration=130.101s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=130.101s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=130.084s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=130.084s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=130.084s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.78,nw_dst=10.0.1.76,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:4a->eth_dst,output:15
 cookie=0x0, duration=130.084s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.76,nw_dst=10.0.0.78,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:4e->eth_dst,output:5
