=== OVS Snapshot: post_churn @ 2026-04-18T22:51:04,076677492-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=819.967s, table=0, n_packets=408773, n_bytes=425675802, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=819.969s, table=0, n_packets=21995, n_bytes=1317612, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0xa00000000a00196d, duration=11.771s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.26.85,tp_src=39074,tp_dst=5001 actions=set_field:10.0.25.109->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:19:6d:74->eth_src,set_field:00:00:00:00:01:0b->eth_dst,FLOOD
 cookie=0xa00000000a0019f1, duration=11.771s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.3.50,tp_src=42178,tp_dst=5001 actions=set_field:10.0.25.241->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:19:f1:e8->eth_src,set_field:00:00:00:00:01:00->eth_dst,FLOOD
 cookie=0xa00000000a001a1d, duration=11.707s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.3.145,tp_src=58132,tp_dst=5001 actions=set_field:10.0.26.29->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:1a:1d:07->eth_src,set_field:00:00:00:00:01:04->eth_dst,FLOOD
 cookie=0xa00000000a0019fc, duration=11.707s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.3.112,tp_src=39776,tp_dst=5001 actions=set_field:10.0.25.252->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:19:fc:e5->eth_src,set_field:00:00:00:00:01:01->eth_dst,FLOOD
 cookie=0xa00000000a001a28, duration=11.644s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.3.156,tp_src=46694,tp_dst=5001 actions=set_field:10.0.26.40->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:1a:28:32->eth_src,set_field:00:00:00:00:01:05->eth_dst,FLOOD
 cookie=0xa00000000a001978, duration=11.534s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.26.96,tp_src=39366,tp_dst=5001 actions=set_field:10.0.25.120->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:19:78:61->eth_src,set_field:00:00:00:00:01:0c->eth_dst,FLOOD
 cookie=0xa00000000a001941, duration=11.371s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.3.178,tp_src=35678,tp_dst=5001 actions=set_field:10.0.25.65->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:19:41:58->eth_src,set_field:00:00:00:00:01:07->eth_dst,FLOOD
 cookie=0xa00000000a0019b0, duration=11.190s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.3.39,tp_src=54212,tp_dst=5001 actions=set_field:10.0.25.176->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:19:b0:a9->eth_src,set_field:00:00:00:00:01:11->eth_dst,FLOOD
 cookie=0xa00000000a0019a5, duration=10.881s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.3.28,tp_src=53118,tp_dst=5001 actions=set_field:10.0.25.165->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:19:a5:bc->eth_src,set_field:00:00:00:00:01:10->eth_dst,FLOOD
 cookie=0xa00000000a001936, duration=10.777s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.3.167,tp_src=57132,tp_dst=5001 actions=set_field:10.0.25.54->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:19:36:2f->eth_src,set_field:00:00:00:00:01:06->eth_dst,FLOOD
