=== OVS Snapshot: post_churn @ 2026-04-20T00:38:52,313717513-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=15.700s, table=0, n_packets=2118, n_bytes=140028, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.147,nw_dst=10.0.0.149,tp_src=5001,tp_dst=50668 actions=set_field:00:00:00:00:00:95->eth_dst,output:8
 cookie=0x0, duration=15.351s, table=0, n_packets=7600, n_bytes=401915472, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.247,nw_dst=10.0.1.245,tp_src=45566,tp_dst=5001 actions=set_field:00:00:00:00:01:f3->eth_dst,output:22
 cookie=0x0, duration=15.351s, table=0, n_packets=2100, n_bytes=139848, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.245,nw_dst=10.0.0.247,tp_src=5001,tp_dst=45566 actions=set_field:00:00:00:00:00:f7->eth_dst,output:12
 cookie=0x0, duration=15.339s, table=0, n_packets=7705, n_bytes=362294490, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.243,nw_dst=10.0.1.241,tp_src=59324,tp_dst=5001 actions=set_field:00:00:00:00:01:ef->eth_dst,output:22
 cookie=0x0, duration=15.339s, table=0, n_packets=3102, n_bytes=205144, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.241,nw_dst=10.0.0.243,tp_src=5001,tp_dst=59324 actions=set_field:00:00:00:00:00:f3->eth_dst,output:12
 cookie=0x0, duration=15.324s, table=0, n_packets=7508, n_bytes=406837672, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.167,nw_dst=10.0.1.165,tp_src=35256,tp_dst=5001 actions=set_field:00:00:00:00:01:a3->eth_dst,output:19
 cookie=0x0, duration=15.324s, table=0, n_packets=1767, n_bytes=116834, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.165,nw_dst=10.0.0.167,tp_src=5001,tp_dst=35256 actions=set_field:00:00:00:00:00:a7->eth_dst,output:8
 cookie=0x0, duration=15.262s, table=0, n_packets=7580, n_bytes=426051776, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.244,nw_dst=10.0.1.242,tp_src=34962,tp_dst=5001 actions=set_field:00:00:00:00:01:f0->eth_dst,output:22
 cookie=0x0, duration=15.262s, table=0, n_packets=1652, n_bytes=109148, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.242,nw_dst=10.0.0.244,tp_src=5001,tp_dst=34962 actions=set_field:00:00:00:00:00:f4->eth_dst,output:12
 cookie=0x0, duration=15.170s, table=0, n_packets=10137, n_bytes=505985274, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.251,nw_dst=10.0.1.249,tp_src=42524,tp_dst=5001 actions=set_field:00:00:00:00:01:f7->eth_dst,output:22
 cookie=0x0, duration=15.170s, table=0, n_packets=2857, n_bytes=189038, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.249,nw_dst=10.0.0.251,tp_src=5001,tp_dst=42524 actions=set_field:00:00:00:00:00:fb->eth_dst,output:12
 cookie=0x0, duration=15.117s, table=0, n_packets=10798, n_bytes=587537404, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.245,nw_dst=10.0.1.243,tp_src=47078,tp_dst=5001 actions=set_field:00:00:00:00:01:f1->eth_dst,output:22
 cookie=0x0, duration=15.117s, table=0, n_packets=2438, n_bytes=161072, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.243,nw_dst=10.0.0.245,tp_src=5001,tp_dst=47078 actions=set_field:00:00:00:00:00:f5->eth_dst,output:12
 cookie=0x0, duration=15.071s, table=0, n_packets=10493, n_bytes=567194842, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.241,nw_dst=10.0.1.239,tp_src=60518,tp_dst=5001 actions=set_field:00:00:00:00:01:ed->eth_dst,output:22
 cookie=0x0, duration=15.071s, table=0, n_packets=2462, n_bytes=162688, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.239,nw_dst=10.0.0.241,tp_src=5001,tp_dst=60518 actions=set_field:00:00:00:00:00:f1->eth_dst,output:12
 cookie=0x0, duration=14.978s, table=0, n_packets=10976, n_bytes=583629072, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.248,nw_dst=10.0.1.246,tp_src=57810,tp_dst=5001 actions=set_field:00:00:00:00:01:f4->eth_dst,output:22
 cookie=0x0, duration=14.978s, table=0, n_packets=2654, n_bytes=175660, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.246,nw_dst=10.0.0.248,tp_src=5001,tp_dst=57810 actions=set_field:00:00:00:00:00:f8->eth_dst,output:12
 cookie=0x0, duration=14.887s, table=0, n_packets=25384, n_bytes=1100204264, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.161,nw_dst=10.0.1.159,tp_src=60776,tp_dst=5001 actions=set_field:00:00:00:00:01:9d->eth_dst,output:19
 cookie=0x0, duration=14.887s, table=0, n_packets=25370, n_bytes=1674668, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.159,nw_dst=10.0.0.161,tp_src=5001,tp_dst=60776 actions=set_field:00:00:00:00:00:a1->eth_dst,output:8
 cookie=0x0, duration=14.831s, table=0, n_packets=9186, n_bytes=454801460, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.146,nw_dst=10.0.1.144,tp_src=37606,tp_dst=5001 actions=set_field:00:00:00:00:01:8e->eth_dst,output:18
 cookie=0x0, duration=14.831s, table=0, n_packets=2520, n_bytes=166864, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.144,nw_dst=10.0.0.146,tp_src=5001,tp_dst=37606 actions=set_field:00:00:00:00:00:92->eth_dst,output:8
 cookie=0x0, duration=14.830s, table=0, n_packets=5338, n_bytes=298300492, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.250,nw_dst=10.0.1.248,tp_src=38278,tp_dst=5001 actions=set_field:00:00:00:00:01:f6->eth_dst,output:22
 cookie=0x0, duration=14.815s, table=0, n_packets=1259, n_bytes=83426, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.248,nw_dst=10.0.0.250,tp_src=5001,tp_dst=38278 actions=set_field:00:00:00:00:00:fa->eth_dst,output:12
 cookie=0x0, duration=14.800s, table=0, n_packets=7011, n_bytes=391342030, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.249,nw_dst=10.0.1.247,tp_src=54734,tp_dst=5001 actions=set_field:00:00:00:00:01:f5->eth_dst,output:22
 cookie=0x0, duration=14.800s, table=0, n_packets=1599, n_bytes=105902, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.247,nw_dst=10.0.0.249,tp_src=5001,tp_dst=54734 actions=set_field:00:00:00:00:00:f9->eth_dst,output:12
 cookie=0x0, duration=14.736s, table=0, n_packets=13921, n_bytes=682641562, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.246,nw_dst=10.0.1.244,tp_src=48700,tp_dst=5001 actions=set_field:00:00:00:00:01:f2->eth_dst,output:22
 cookie=0x0, duration=14.736s, table=0, n_packets=4598, n_bytes=303752, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.244,nw_dst=10.0.0.246,tp_src=5001,tp_dst=48700 actions=set_field:00:00:00:00:00:f6->eth_dst,output:12
 cookie=0x0, duration=14.719s, table=0, n_packets=12220, n_bytes=592348288, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.252,nw_dst=10.0.1.250,tp_src=49676,tp_dst=5001 actions=set_field:00:00:00:00:01:f8->eth_dst,output:22
 cookie=0x0, duration=14.719s, table=0, n_packets=5909, n_bytes=390266, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.250,nw_dst=10.0.0.252,tp_src=5001,tp_dst=49676 actions=set_field:00:00:00:00:00:fc->eth_dst,output:12
 cookie=0x0, duration=14.694s, table=0, n_packets=9953, n_bytes=458650986, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.242,nw_dst=10.0.1.240,tp_src=39780,tp_dst=5001 actions=set_field:00:00:00:00:01:ee->eth_dst,output:22
 cookie=0x0, duration=14.694s, table=0, n_packets=4306, n_bytes=284672, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.240,nw_dst=10.0.0.242,tp_src=5001,tp_dst=39780 actions=set_field:00:00:00:00:00:f2->eth_dst,output:12
 cookie=0x0, duration=14.650s, table=0, n_packets=6572, n_bytes=345870096, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.145,nw_dst=10.0.1.143,tp_src=45902,tp_dst=5001 actions=set_field:00:00:00:00:01:8d->eth_dst,output:18
 cookie=0x0, duration=14.650s, table=0, n_packets=1833, n_bytes=121850, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.143,nw_dst=10.0.0.145,tp_src=5001,tp_dst=45902 actions=set_field:00:00:00:00:00:91->eth_dst,output:8
 cookie=0x0, duration=14.650s, table=0, n_packets=11668, n_bytes=600189056, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.166,nw_dst=10.0.1.164,tp_src=35950,tp_dst=5001 actions=set_field:00:00:00:00:01:a2->eth_dst,output:19
