=== OVS Snapshot: mid_udp @ 2026-04-19T22:28:46,658485623-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=60.910s, table=0, n_packets=543, n_bytes=821016, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.50,nw_dst=10.0.1.48,tp_src=60089,tp_dst=5001 actions=set_field:00:00:00:00:01:2e->eth_dst,output:14
 cookie=0x0, duration=60.909s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.77,nw_dst=10.0.1.75,tp_src=41206,tp_dst=5001 actions=set_field:00:00:00:00:01:49->eth_dst,output:15
 cookie=0x0, duration=60.870s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.78,nw_dst=10.0.1.76,tp_src=48762,tp_dst=5001 actions=set_field:00:00:00:00:01:4a->eth_dst,output:15
 cookie=0x0, duration=60.849s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.79,nw_dst=10.0.1.77,tp_src=52330,tp_dst=5001 actions=set_field:00:00:00:00:01:4b->eth_dst,output:15
 cookie=0x0, duration=60.832s, table=0, n_packets=542, n_bytes=819504, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.53,nw_dst=10.0.1.51,tp_src=44984,tp_dst=5001 actions=set_field:00:00:00:00:01:31->eth_dst,output:14
 cookie=0x0, duration=60.831s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.80,nw_dst=10.0.1.78,tp_src=43182,tp_dst=5001 actions=set_field:00:00:00:00:01:4c->eth_dst,output:15
 cookie=0x0, duration=60.815s, table=0, n_packets=542, n_bytes=819504, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.54,nw_dst=10.0.1.52,tp_src=57348,tp_dst=5001 actions=set_field:00:00:00:00:01:32->eth_dst,output:14
 cookie=0x0, duration=60.797s, table=0, n_packets=542, n_bytes=819504, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,tp_src=39991,tp_dst=5001 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=60.778s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.81,nw_dst=10.0.1.79,tp_src=60131,tp_dst=5001 actions=set_field:00:00:00:00:01:4d->eth_dst,output:15
 cookie=0x0, duration=60.761s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.82,nw_dst=10.0.1.80,tp_src=33335,tp_dst=5001 actions=set_field:00:00:00:00:01:4e->eth_dst,output:15
 cookie=0x0, duration=60.738s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.83,nw_dst=10.0.1.81,tp_src=51870,tp_dst=5001 actions=set_field:00:00:00:00:01:4f->eth_dst,output:15
 cookie=0x0, duration=60.679s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.84,nw_dst=10.0.1.82,tp_src=52362,tp_dst=5001 actions=set_field:00:00:00:00:01:50->eth_dst,output:15
 cookie=0x0, duration=60.679s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,tp_src=54345,tp_dst=5001 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=60.660s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.86,nw_dst=10.0.1.84,tp_src=47670,tp_dst=5001 actions=set_field:00:00:00:00:01:52->eth_dst,output:16
 cookie=0x0, duration=60.660s, table=0, n_packets=542, n_bytes=819504, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.59,nw_dst=10.0.1.57,tp_src=39895,tp_dst=5001 actions=set_field:00:00:00:00:01:37->eth_dst,output:14
 cookie=0x0, duration=60.642s, table=0, n_packets=542, n_bytes=819504, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.60,nw_dst=10.0.1.58,tp_src=39057,tp_dst=5001 actions=set_field:00:00:00:00:01:38->eth_dst,output:14
 cookie=0x0, duration=60.642s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.98,nw_dst=10.0.1.96,tp_src=45223,tp_dst=5001 actions=set_field:00:00:00:00:01:5e->eth_dst,output:16
 cookie=0x0, duration=60.626s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.87,nw_dst=10.0.1.85,tp_src=44803,tp_dst=5001 actions=set_field:00:00:00:00:01:53->eth_dst,output:16
 cookie=0x0, duration=60.626s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.99,nw_dst=10.0.1.97,tp_src=59705,tp_dst=5001 actions=set_field:00:00:00:00:01:5f->eth_dst,output:16
 cookie=0x0, duration=60.605s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.88,nw_dst=10.0.1.86,tp_src=52710,tp_dst=5001 actions=set_field:00:00:00:00:01:54->eth_dst,output:16
 cookie=0x0, duration=60.605s, table=0, n_packets=542, n_bytes=819504, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.61,nw_dst=10.0.1.59,tp_src=52759,tp_dst=5001 actions=set_field:00:00:00:00:01:39->eth_dst,output:15
