=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
h114->h366                     6.320        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h115->h367                     6.083        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h116->h368                     5.794        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h117->h369                     5.376        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h118->h370                     5.526        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h119->h371                     6.555        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h120->h372                     5.988        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h121->h373                     5.172        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h122->h374                     5.930        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h123->h375                     5.869        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h124->h376                     5.712        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h125->h377                     5.480        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h126->h378                     10.727       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h127->h379                     12.481       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h128->h380                     12.032       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h129->h381                     12.605       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h130->h382                     11.828       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h131->h383                     10.796       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h132->h384                     10.887       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h133->h385                     9.860        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h134->h386                     10.205       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h135->h387                     9.584        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h136->h388                     10.913       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h137->h389                     15.239       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h138->h390                     14.594       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h139->h391                     14.318       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h140->h392                     13.778       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h141->h393                     10.792       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
