=== OVS Snapshot: mid_churn @ 2026-04-18T23:34:21,630446325-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=1630.509s, table=0, n_packets=1575833, n_bytes=2118220722, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=1630.544s, table=0, n_packets=48805, n_bytes=3101073, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a0009ca, duration=7.777s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.11.25,tp_src=40128,tp_dst=5001 actions=set_field:10.0.9.202->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:09:ca:c3->eth_src,set_field:00:00:00:00:01:14->eth_dst,FLOOD
 cookie=0xa00000000a0009ef, duration=7.751s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.10.246,tp_src=49138,tp_dst=5001 actions=set_field:10.0.9.239->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:09:ef:e6->eth_src,set_field:00:00:00:00:01:00->eth_dst,FLOOD
 cookie=0xa00000000a000926, duration=7.719s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.10.156,tp_src=43884,tp_dst=5001 actions=set_field:10.0.9.38->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:09:26:2f->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
 cookie=0xa00000000a000992, duration=7.708s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.10.234,tp_src=46512,tp_dst=5001 actions=set_field:10.0.9.146->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:09:92:9b->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a0008bf, duration=7.675s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.10.120,tp_src=46472,tp_dst=5001 actions=set_field:10.0.8.191->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:08:bf:b7->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a0009b8, duration=7.675s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.11.11,tp_src=51650,tp_dst=5001 actions=set_field:10.0.9.184->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:09:b8:b1->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a00097b, duration=7.602s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.9.222,tp_src=39460,tp_dst=5001 actions=set_field:10.0.9.123->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:09:7b:72->eth_src,set_field:00:00:00:00:00:fe->eth_dst,FLOOD
 cookie=0xa00000000a000894, duration=7.602s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.10.109,tp_src=33212,tp_dst=5001 actions=set_field:10.0.8.148->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:08:94:9c->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a000805, duration=7.602s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.9.221,tp_src=51318,tp_dst=5001 actions=set_field:10.0.8.5->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:08:05:0d->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a000a1d, duration=7.602s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.7.234,tp_src=36530,tp_dst=5001 actions=set_field:10.0.10.29->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:0a:1d:17->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
