=== OVS Snapshot: post_tcp @ 2026-04-19T23:14:21,854770220-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=134.834s, table=0, n_packets=167137, n_bytes=7327267738, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.19,nw_dst=10.0.1.17,tp_src=51800,tp_dst=5001 actions=set_field:00:00:00:00:01:0f->eth_dst,output:13
 cookie=0x0, duration=134.834s, table=0, n_packets=95904, n_bytes=6360700, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.17,nw_dst=10.0.0.19,tp_src=5001,tp_dst=51800 actions=set_field:00:00:00:00:00:13->eth_dst,output:2
 cookie=0x0, duration=134.834s, table=0, n_packets=153129, n_bytes=6848485114, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=37802,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=134.834s, table=0, n_packets=79907, n_bytes=5335906, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=37802 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=134.834s, table=0, n_packets=127208, n_bytes=5842968376, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=44980,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=134.834s, table=0, n_packets=49076, n_bytes=3258660, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=44980 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=134.834s, table=0, n_packets=151331, n_bytes=6738967526, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=39142,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=134.834s, table=0, n_packets=84537, n_bytes=5599822, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=39142 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=134.818s, table=0, n_packets=163461, n_bytes=7273019538, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=44862,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=134.818s, table=0, n_packets=108522, n_bytes=7166352, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=44862 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=134.818s, table=0, n_packets=150482, n_bytes=6377623452, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=52482,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=134.818s, table=0, n_packets=75803, n_bytes=5058578, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=52482 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=134.804s, table=0, n_packets=157798, n_bytes=6585404740, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.10,nw_dst=10.0.1.8,tp_src=46058,tp_dst=5001 actions=set_field:00:00:00:00:01:06->eth_dst,output:12
 cookie=0x0, duration=134.804s, table=0, n_packets=89923, n_bytes=6018458, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.8,nw_dst=10.0.0.10,tp_src=5001,tp_dst=46058 actions=set_field:00:00:00:00:00:0a->eth_dst,output:2
 cookie=0x0, duration=134.804s, table=0, n_packets=157631, n_bytes=6817123398, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=59780,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=134.804s, table=0, n_packets=84194, n_bytes=5604588, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=59780 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=134.803s, table=0, n_packets=144396, n_bytes=6457185704, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.56,nw_dst=10.0.1.54,tp_src=54214,tp_dst=5001 actions=set_field:00:00:00:00:01:34->eth_dst,output:14
 cookie=0x0, duration=134.803s, table=0, n_packets=81822, n_bytes=5415416, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.54,nw_dst=10.0.0.56,tp_src=5001,tp_dst=54214 actions=set_field:00:00:00:00:00:38->eth_dst,output:4
 cookie=0x0, duration=134.803s, table=0, n_packets=130825, n_bytes=6044098682, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.59,nw_dst=10.0.1.57,tp_src=38218,tp_dst=5001 actions=set_field:00:00:00:00:01:37->eth_dst,output:14
 cookie=0x0, duration=134.803s, table=0, n_packets=54524, n_bytes=3609532, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.57,nw_dst=10.0.0.59,tp_src=5001,tp_dst=38218 actions=set_field:00:00:00:00:00:3b->eth_dst,output:4
 cookie=0x0, duration=134.778s, table=0, n_packets=146722, n_bytes=6344141732, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=42282,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=134.777s, table=0, n_packets=72045, n_bytes=4783658, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=42282 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=134.777s, table=0, n_packets=146750, n_bytes=6454997212, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.43,nw_dst=10.0.1.41,tp_src=34696,tp_dst=5001 actions=set_field:00:00:00:00:01:27->eth_dst,output:14
 cookie=0x0, duration=134.777s, table=0, n_packets=69565, n_bytes=4594358, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.41,nw_dst=10.0.0.43,tp_src=5001,tp_dst=34696 actions=set_field:00:00:00:00:00:2b->eth_dst,output:3
 cookie=0x0, duration=134.752s, table=0, n_packets=168816, n_bytes=6961359216, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.27,nw_dst=10.0.1.25,tp_src=40494,tp_dst=5001 actions=set_field:00:00:00:00:01:17->eth_dst,output:13
 cookie=0x0, duration=134.752s, table=0, n_packets=104505, n_bytes=7030306, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.25,nw_dst=10.0.0.27,tp_src=5001,tp_dst=40494 actions=set_field:00:00:00:00:00:1b->eth_dst,output:3
 cookie=0x0, duration=134.714s, table=0, n_packets=159179, n_bytes=6898011214, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.35,nw_dst=10.0.1.33,tp_src=41134,tp_dst=5001 actions=set_field:00:00:00:00:01:1f->eth_dst,output:13
 cookie=0x0, duration=134.714s, table=0, n_packets=85091, n_bytes=5673518, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.33,nw_dst=10.0.0.35,tp_src=5001,tp_dst=41134 actions=set_field:00:00:00:00:00:23->eth_dst,output:3
 cookie=0x0, duration=134.714s, table=0, n_packets=160536, n_bytes=6956789456, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.33,nw_dst=10.0.1.31,tp_src=58998,tp_dst=5001 actions=set_field:00:00:00:00:01:1d->eth_dst,output:13
 cookie=0x0, duration=134.714s, table=0, n_packets=86361, n_bytes=5785502, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.31,nw_dst=10.0.0.33,tp_src=5001,tp_dst=58998 actions=set_field:00:00:00:00:00:21->eth_dst,output:3
 cookie=0x0, duration=134.690s, table=0, n_packets=162279, n_bytes=7251820926, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.32,nw_dst=10.0.1.30,tp_src=34718,tp_dst=5001 actions=set_field:00:00:00:00:01:1c->eth_dst,output:13
 cookie=0x0, duration=134.690s, table=0, n_packets=80998, n_bytes=5385192, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.30,nw_dst=10.0.0.32,tp_src=5001,tp_dst=34718 actions=set_field:00:00:00:00:00:20->eth_dst,output:3
 cookie=0x0, duration=134.678s, table=0, n_packets=149240, n_bytes=6767855800, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.8,nw_dst=10.0.1.6,tp_src=60064,tp_dst=5001 actions=set_field:00:00:00:00:01:04->eth_dst,output:12
 cookie=0x0, duration=134.677s, table=0, n_packets=79178, n_bytes=5228808, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.6,nw_dst=10.0.0.8,tp_src=5001,tp_dst=60064 actions=set_field:00:00:00:00:00:08->eth_dst,output:2
 cookie=0x0, duration=134.667s, table=0, n_packets=142566, n_bytes=6398561660, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=45140,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
