=== OVS Snapshot: mid_udp @ 2026-04-19T22:08:49,886946693-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=62.112s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.71,nw_dst=10.0.1.69,tp_src=53193,tp_dst=5001 actions=set_field:00:00:00:00:01:43->eth_dst,output:15
 cookie=0x0, duration=62.101s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.72,nw_dst=10.0.1.70,tp_src=55557,tp_dst=5001 actions=set_field:00:00:00:00:01:44->eth_dst,output:15
 cookie=0x0, duration=62.089s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.73,nw_dst=10.0.1.71,tp_src=46920,tp_dst=5001 actions=set_field:00:00:00:00:01:45->eth_dst,output:15
 cookie=0x0, duration=62.078s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.74,nw_dst=10.0.1.72,tp_src=37133,tp_dst=5001 actions=set_field:00:00:00:00:01:46->eth_dst,output:15
 cookie=0x0, duration=62.066s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.75,nw_dst=10.0.1.73,tp_src=33897,tp_dst=5001 actions=set_field:00:00:00:00:01:47->eth_dst,output:15
 cookie=0x0, duration=62.054s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.76,nw_dst=10.0.1.74,tp_src=59243,tp_dst=5001 actions=set_field:00:00:00:00:01:48->eth_dst,output:15
 cookie=0x0, duration=62.042s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.77,nw_dst=10.0.1.75,tp_src=44507,tp_dst=5001 actions=set_field:00:00:00:00:01:49->eth_dst,output:15
 cookie=0x0, duration=62.032s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.78,nw_dst=10.0.1.76,tp_src=40753,tp_dst=5001 actions=set_field:00:00:00:00:01:4a->eth_dst,output:15
 cookie=0x0, duration=62.020s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.79,nw_dst=10.0.1.77,tp_src=58079,tp_dst=5001 actions=set_field:00:00:00:00:01:4b->eth_dst,output:15
 cookie=0x0, duration=62.007s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.80,nw_dst=10.0.1.78,tp_src=44558,tp_dst=5001 actions=set_field:00:00:00:00:01:4c->eth_dst,output:15
 cookie=0x0, duration=61.998s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.81,nw_dst=10.0.1.79,tp_src=39265,tp_dst=5001 actions=set_field:00:00:00:00:01:4d->eth_dst,output:15
 cookie=0x0, duration=61.987s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.82,nw_dst=10.0.1.80,tp_src=50190,tp_dst=5001 actions=set_field:00:00:00:00:01:4e->eth_dst,output:15
