=== OVS Snapshot: post_udp @ 2026-04-19T22:10:02,444166430-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=12.826s, table=0, n_packets=1048, n_bytes=1584576, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,tp_src=59643,tp_dst=5001 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
 cookie=0x0, duration=12.783s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.46,nw_dst=10.0.0.48,tp_src=5001,tp_dst=39365 actions=set_field:00:00:00:00:00:30->eth_dst,output:3
 cookie=0x0, duration=12.783s, table=0, n_packets=1048, n_bytes=1584576, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.48,nw_dst=10.0.1.46,tp_src=39365,tp_dst=5001 actions=set_field:00:00:00:00:01:2c->eth_dst,output:14
 cookie=0x0, duration=12.633s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.52,nw_dst=10.0.0.54,tp_src=5001,tp_dst=34093 actions=set_field:00:00:00:00:00:36->eth_dst,output:4
 cookie=0x0, duration=12.633s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.54,nw_dst=10.0.1.52,tp_src=34093,tp_dst=5001 actions=set_field:00:00:00:00:01:32->eth_dst,output:14
 cookie=0x0, duration=12.618s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.53,nw_dst=10.0.0.55,tp_src=5001,tp_dst=40687 actions=set_field:00:00:00:00:00:37->eth_dst,output:4
 cookie=0x0, duration=12.618s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,tp_src=40687,tp_dst=5001 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=12.618s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.59,nw_dst=10.0.0.61,tp_src=5001,tp_dst=41975 actions=set_field:00:00:00:00:00:3d->eth_dst,output:4
 cookie=0x0, duration=12.618s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.61,nw_dst=10.0.1.59,tp_src=41975,tp_dst=5001 actions=set_field:00:00:00:00:01:39->eth_dst,output:15
 cookie=0x0, duration=12.618s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.54,nw_dst=10.0.0.56,tp_src=5001,tp_dst=54564 actions=set_field:00:00:00:00:00:38->eth_dst,output:4
 cookie=0x0, duration=12.618s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.56,nw_dst=10.0.1.54,tp_src=54564,tp_dst=5001 actions=set_field:00:00:00:00:01:34->eth_dst,output:14
 cookie=0x0, duration=12.602s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.60,nw_dst=10.0.0.62,tp_src=5001,tp_dst=40320 actions=set_field:00:00:00:00:00:3e->eth_dst,output:4
 cookie=0x0, duration=12.602s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.62,nw_dst=10.0.1.60,tp_src=40320,tp_dst=5001 actions=set_field:00:00:00:00:01:3a->eth_dst,output:15
 cookie=0x0, duration=12.602s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.61,nw_dst=10.0.0.63,tp_src=5001,tp_dst=57638 actions=set_field:00:00:00:00:00:3f->eth_dst,output:4
 cookie=0x0, duration=12.602s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.63,nw_dst=10.0.1.61,tp_src=57638,tp_dst=5001 actions=set_field:00:00:00:00:01:3b->eth_dst,output:15
 cookie=0x0, duration=12.585s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.62,nw_dst=10.0.0.64,tp_src=5001,tp_dst=53385 actions=set_field:00:00:00:00:00:40->eth_dst,output:4
 cookie=0x0, duration=12.585s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.64,nw_dst=10.0.1.62,tp_src=53385,tp_dst=5001 actions=set_field:00:00:00:00:01:3c->eth_dst,output:15
 cookie=0x0, duration=12.567s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.63,nw_dst=10.0.0.65,tp_src=5001,tp_dst=40722 actions=set_field:00:00:00:00:00:41->eth_dst,output:4
 cookie=0x0, duration=12.567s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.65,nw_dst=10.0.1.63,tp_src=40722,tp_dst=5001 actions=set_field:00:00:00:00:01:3d->eth_dst,output:15
 cookie=0x0, duration=12.567s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,tp_src=5001,tp_dst=60486 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=12.567s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,tp_src=60486,tp_dst=5001 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=12.531s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.64,nw_dst=10.0.0.66,tp_src=5001,tp_dst=40665 actions=set_field:00:00:00:00:00:42->eth_dst,output:4
 cookie=0x0, duration=12.531s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.66,nw_dst=10.0.1.64,tp_src=40665,tp_dst=5001 actions=set_field:00:00:00:00:01:3e->eth_dst,output:15
 cookie=0x0, duration=12.531s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.65,nw_dst=10.0.0.67,tp_src=5001,tp_dst=44653 actions=set_field:00:00:00:00:00:43->eth_dst,output:4
 cookie=0x0, duration=12.531s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.67,nw_dst=10.0.1.65,tp_src=44653,tp_dst=5001 actions=set_field:00:00:00:00:01:3f->eth_dst,output:15
 cookie=0x0, duration=12.515s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.58,nw_dst=10.0.0.60,tp_src=5001,tp_dst=59783 actions=set_field:00:00:00:00:00:3c->eth_dst,output:4
 cookie=0x0, duration=12.515s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.60,nw_dst=10.0.1.58,tp_src=59783,tp_dst=5001 actions=set_field:00:00:00:00:01:38->eth_dst,output:14
 cookie=0x0, duration=12.499s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.66,nw_dst=10.0.0.68,tp_src=5001,tp_dst=49685 actions=set_field:00:00:00:00:00:44->eth_dst,output:4
 cookie=0x0, duration=12.499s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.68,nw_dst=10.0.1.66,tp_src=49685,tp_dst=5001 actions=set_field:00:00:00:00:01:40->eth_dst,output:15
 cookie=0x0, duration=12.480s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.67,nw_dst=10.0.0.69,tp_src=5001,tp_dst=37921 actions=set_field:00:00:00:00:00:45->eth_dst,output:4
 cookie=0x0, duration=12.480s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.69,nw_dst=10.0.1.67,tp_src=37921,tp_dst=5001 actions=set_field:00:00:00:00:01:41->eth_dst,output:15
 cookie=0x0, duration=12.460s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.68,nw_dst=10.0.0.70,tp_src=5001,tp_dst=47753 actions=set_field:00:00:00:00:00:46->eth_dst,output:4
 cookie=0x0, duration=12.440s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.70,nw_dst=10.0.1.68,tp_src=47753,tp_dst=5001 actions=set_field:00:00:00:00:01:42->eth_dst,output:15
 cookie=0x0, duration=12.440s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.69,nw_dst=10.0.0.71,tp_src=5001,tp_dst=53193 actions=set_field:00:00:00:00:00:47->eth_dst,output:4
 cookie=0x0, duration=12.440s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.71,nw_dst=10.0.1.69,tp_src=53193,tp_dst=5001 actions=set_field:00:00:00:00:01:43->eth_dst,output:15
 cookie=0x0, duration=12.440s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.70,nw_dst=10.0.0.72,tp_src=5001,tp_dst=55557 actions=set_field:00:00:00:00:00:48->eth_dst,output:4
 cookie=0x0, duration=12.424s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.72,nw_dst=10.0.1.70,tp_src=55557,tp_dst=5001 actions=set_field:00:00:00:00:01:44->eth_dst,output:15
 cookie=0x0, duration=12.405s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=12.405s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=12.405s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=12.405s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=12.387s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.71,nw_dst=10.0.0.73,tp_src=5001,tp_dst=46920 actions=set_field:00:00:00:00:00:49->eth_dst,output:5
 cookie=0x0, duration=12.387s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.73,nw_dst=10.0.1.71,tp_src=46920,tp_dst=5001 actions=set_field:00:00:00:00:01:45->eth_dst,output:15
 cookie=0x0, duration=12.387s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.72,nw_dst=10.0.0.74,tp_src=5001,tp_dst=37133 actions=set_field:00:00:00:00:00:4a->eth_dst,output:5
 cookie=0x0, duration=12.387s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.74,nw_dst=10.0.1.72,tp_src=37133,tp_dst=5001 actions=set_field:00:00:00:00:01:46->eth_dst,output:15
