=== OVS Snapshot: pre_tcp @ 2026-04-20T00:11:30,742472463-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=131.823s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.52,nw_dst=10.0.1.50,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:30->eth_dst,output:14
 cookie=0x0, duration=131.823s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.50,nw_dst=10.0.0.52,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:34->eth_dst,output:4
 cookie=0x0, duration=131.823s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=131.823s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.53,nw_dst=10.0.0.55,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:37->eth_dst,output:4
 cookie=0x0, duration=131.823s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.59,nw_dst=10.0.1.57,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:37->eth_dst,output:14
 cookie=0x0, duration=131.823s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.57,nw_dst=10.0.0.59,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3b->eth_dst,output:4
 cookie=0x0, duration=131.823s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.65,nw_dst=10.0.1.63,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:3d->eth_dst,output:15
 cookie=0x0, duration=131.823s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.63,nw_dst=10.0.0.65,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:41->eth_dst,output:4
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.49,nw_dst=10.0.1.47,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:2d->eth_dst,output:14
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.47,nw_dst=10.0.0.49,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:31->eth_dst,output:4
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.56,nw_dst=10.0.1.54,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:34->eth_dst,output:14
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.54,nw_dst=10.0.0.56,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:38->eth_dst,output:4
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.54,nw_dst=10.0.1.52,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:32->eth_dst,output:14
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.52,nw_dst=10.0.0.54,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:36->eth_dst,output:4
