=== OVS Snapshot: post_churn @ 2026-04-19T00:02:46,930956298-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=3335.700s, table=0, n_packets=3752869, n_bytes=4958453630, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=3335.711s, table=0, n_packets=104631, n_bytes=6745012, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000ab4, duration=22.328s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.10.65,tp_src=43858,tp_dst=5001 actions=set_field:10.0.10.180->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:0a:b4:be->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
 cookie=0xa00000000a000a30, duration=22.308s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.6.234,tp_src=59978,tp_dst=5001 actions=set_field:10.0.10.48->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:0a:30:3a->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
 cookie=0xa00000000a000809, duration=22.274s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.8.146,tp_src=53756,tp_dst=5001 actions=set_field:10.0.8.9->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:08:09:01->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a000a92, duration=22.226s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.9.9,tp_src=46048,tp_dst=5001 actions=set_field:10.0.10.146->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:0a:92:98->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a000a46, duration=22.225s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.8.115,tp_src=44490,tp_dst=5001 actions=set_field:10.0.10.70->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:0a:46:4c->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a0007ea, duration=22.185s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.8.95,tp_src=50816,tp_dst=5001 actions=set_field:10.0.7.234->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:07:ea:ed->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000ae6, duration=22.136s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.3.214,tp_src=49074,tp_dst=5001 actions=set_field:10.0.10.230->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:0a:e6:ec->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a000a73, duration=22.093s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.10.59,tp_src=50374,tp_dst=5001 actions=set_field:10.0.10.115->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:0a:73:79->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a000b00, duration=21.925s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.21.80,tp_src=45914,tp_dst=5001 actions=set_field:10.0.11.0->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:0b:00:0b->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a000774, duration=21.861s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.3.199,tp_src=60078,tp_dst=5001 actions=set_field:10.0.7.116->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:07:74:73->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
